emlak_tipi,m2_brut,m2_net,oda_sayisi,bina_yaşi,bulundugu_kat,isitma,banyo_sayisi,balkon,esyali,site_icerisi,krediye_uygun,kimden,konum,fiyat
0,95.0,85.0,4,3,10,0,0,0,2,2,1,1,0,277000.0
0,115.0,110.0,7,5,13,0,0,0,2,2,1,1,0,235000.0
0,90.0,75.0,4,6,14,8,0,0,1,1,2,2,0,235000.0
0,115.0,100.0,4,10,10,0,0,0,0,2,1,1,0,299000.0
0,100.0,100.0,7,8,10,0,0,0,2,2,1,1,0,207000.0
0,115.0,100.0,4,5,23,8,0,0,0,2,1,1,0,135000.0
0,140.0,130.0,4,0,15,0,0,0,2,2,1,1,0,375000.0
0,290.0,260.0,14,7,13,0,2,0,2,2,1,1,0,499000.0
0,120.0,110.0,4,10,0,0,0,0,2,1,1,1,0,270000.0
0,110.0,100.0,7,5,14,0,0,0,2,2,2,2,0,179000.0
0,145.0,125.0,4,3,0,0,0,0,2,2,1,1,0,400000.0
0,140.0,130.0,7,3,14,0,0,0,2,2,1,1,0,320000.0
0,131.0,120.0,7,0,10,0,1,0,2,2,1,1,0,645000.0
0,135.0,125.0,7,0,0,0,1,0,2,2,1,1,0,575000.0
0,125.0,110.0,7,3,13,0,1,0,2,2,1,3,0,210000.0
0,166.0,132.0,7,0,0,0,1,0,2,1,2,3,0,680000.0
0,170.0,140.0,7,0,30,0,1,0,2,1,2,1,0,770000.0
2,90.0,75.0,4,6,13,8,0,0,1,1,2,2,0,220000.0
0,95.0,90.0,4,8,13,0,0,0,2,2,1,1,0,165000.0
0,95.0,88.0,4,8,10,0,0,0,2,2,2,1,0,130000.0
0,280.0,250.0,14,0,15,0,1,0,2,2,1,1,0,650000.0
0,75.0,70.0,4,5,10,0,0,0,2,2,1,1,0,249000.0
0,135.0,120.0,7,6,0,0,0,0,2,2,1,1,0,210000.0
0,125.0,120.0,7,8,10,0,0,0,2,2,1,1,0,200000.0
0,125.0,110.0,7,7,0,0,0,0,2,2,1,1,0,315000.0
0,70.0,70.0,4,8,16,1,0,0,1,2,2,2,0,275000.0
0,110.0,93.0,7,5,15,0,0,0,2,2,1,1,0,230000.0
0,159.0,115.0,7,0,0,0,1,0,2,1,1,1,0,420000.0
0,270.0,250.0,14,0,16,0,1,0,2,2,1,1,0,550000.0
0,230.0,230.0,16,7,24,0,1,0,2,2,1,2,0,575000.0
0,85.0,75.0,4,6,15,8,0,0,1,2,1,1,0,370000.0
0,130.0,120.0,7,5,14,0,0,0,2,1,2,1,0,295000.0
0,91.0,56.0,0,0,29,0,0,0,2,1,2,3,0,335000.0
0,135.0,125.0,7,0,10,0,2,0,2,1,1,1,0,410000.0
0,104.0,72.0,4,0,15,0,0,0,1,1,1,1,0,725000.0
